task,time_elapsed,internal_node_id,lang_pair,words,subject_id,condition,frequency_ranks,response,correct,word,foil,button_1,button_2,response_audio,rank1,rank2,rank3,rank4,rank,lang_num,item_id
segmentation_trial,202360,0.0-11.0-0.0,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,1.0,kulego,bugona,kulego,bugona,kulego,,,,,0,1,88
segmentation_trial,208924,0.0-11.0-0.1,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,0.0,nagitu,gibeto,gibeto,nagitu,gibeto,,,,,0,1,150
segmentation_trial,220175,0.0-11.0-0.2,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,1.0,0.0,kulego,lemaku,kulego,lemaku,lemaku,,,,,0,1,91
segmentation_trial,226789,0.0-11.0-0.3,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,0.0,midobe,dotumi,dotumi,midobe,dotumi,,,,,0,1,125
segmentation_trial,233159,0.0-11.0-0.4,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,1.0,nagitu,lemaku,nagitu,lemaku,nagitu,,,,,0,1,151
segmentation_trial,239992,0.0-11.0-0.5,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,0.0,midobe,gibeto,gibeto,midobe,gibeto,,,,,0,1,126
segmentation_trial,246547,0.0-11.0-0.6,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,1.0,0.0,nagitu,bugona,nagitu,bugona,bugona,,,,,0,1,148
segmentation_trial,253414,0.0-11.0-0.7,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,0.0,kulego,gibeto,gibeto,kulego,gibeto,,,,,0,1,90
segmentation_trial,260471,0.0-11.0-0.8,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,1.0,0.0,tobuma,lemaku,tobuma,lemaku,lemaku,,,,,0,1,191
segmentation_trial,266566,0.0-11.0-0.9,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,1.0,1.0,nagitu,dotumi,dotumi,nagitu,nagitu,,,,,0,1,149
segmentation_trial,272595,0.0-11.0-0.10,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,1.0,1.0,tobuma,gibeto,gibeto,tobuma,tobuma,,,,,0,1,190
segmentation_trial,280255,0.0-11.0-0.11,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,0.0,kulego,dotumi,dotumi,kulego,dotumi,,,,,0,1,89
segmentation_trial,286453,0.0-11.0-0.12,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,1.0,midobe,bugona,midobe,bugona,midobe,,,,,0,1,124
segmentation_trial,293730,0.0-11.0-0.13,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,1.0,1.0,tobuma,dotumi,dotumi,tobuma,tobuma,,,,,0,1,189
segmentation_trial,300331,0.0-11.0-0.14,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,1.0,midobe,lemaku,midobe,lemaku,midobe,,,,,0,1,127
segmentation_trial,306681,0.0-11.0-0.15,1,"[""kulego"",""nagitu"",""tobuma"",""midobe""]",bscptt8xb1ka27g,uniform,,0.0,1.0,tobuma,bugona,tobuma,bugona,tobuma,,,,,0,1,188
segmentation_trial,352197,0.0-11.0-0.0,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,1.0,1.0,kediba,gukema,gukema,kediba,kediba,,,,,0,2,73
segmentation_trial,358245,0.0-11.0-0.1,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,0.0,1.0,matolu,tobanu,matolu,tobanu,matolu,,,,,0,2,119
segmentation_trial,364461,0.0-11.0-0.2,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,0.0,0.0,nubola,lamodi,lamodi,nubola,lamodi,,,,,0,2,166
segmentation_trial,372365,0.0-11.0-0.3,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,1.0,1.0,mogude,gukema,gukema,mogude,mogude,,,,,0,2,137
segmentation_trial,378525,0.0-11.0-0.4,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,0.0,0.0,kediba,lamodi,lamodi,kediba,lamodi,,,,,0,2,74
segmentation_trial,385821,0.0-11.0-0.5,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,1.0,1.0,matolu,gukema,gukema,matolu,matolu,,,,,0,2,117
segmentation_trial,392829,0.0-11.0-0.6,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,1.0,0.0,mogude,delubo,mogude,delubo,delubo,,,,,0,2,136
segmentation_trial,399893,0.0-11.0-0.7,5,"[""matolu"",""nubola"",""mogude"",""kediba""]",k2pa2ysnfw4jbut,uniform,,1.0,0.0,nubola,tobanu,nubola,tobanu,tobanu,,,,,0,2,167
