"width","height","webaudio","browser","mobile","fullscreen","task","trial_type","trial_index","time_elapsed","internal_node_id","lang_pair","words","foils","subject_id","prolific_id","study_id","session_id","condition","frequency_ranks","success","timeout","failed_images","failed_audio","failed_video","rt","url","stimulus","response","correct","image","word","foil","change_audio_order","button_1","button_2","response_audio","audioWord_first"
"1366","641","true","chrome","false","true","browser_check","browser-check","0","79","0.0-0.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","","","","","","","","","","","","",""
"","","","","","","preload","preload","1","1887","0.0-1.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","true","false","[]","[]","[]","","","","","","","","","","","","",""
"","","","","","","consent","external-html","2","75940","0.0-2.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","73980","consentForm.html","","","","","","","","","","",""
"","","","","","","enter_fullscreen","fullscreen","3","87659","0.0-3.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","true","","","","","","","","","","","","","","","","",""
"","","","","","","audio_test","html-button-response","4","112972","0.0-4.0-0.0-0.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","25304","","<p style=""color:blue;"">   </p> <p>First, let's make sure you're audio is working. Listen to the audio by clicking on the play-button on the media player below. Please adjust the volume of your computer if necessary.<p> <p> <audio controls> <source src='stimuli/audio_check/banana.mp3' type='audio/mp3'> </audio> </p> <p> What image did the audio describe? </p>","2","1","","","","","","","",""
"","","","","","","instructions1","html-button-response","5","143316","0.0-5.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","29324","","[""<p> Welcome to the experiment.</p> <p>In this study, you will be listening to an alien language. Your job is to listen carefully, and try your best to find and learn some patterns in the speech. If you pay attention, some of this learning may happen even without you noticing it. Sometimes, the speech will stop for a few seconds, so take those brief periods of silence to rest. This learning phase will take several minutes: a progress bar will show you how far along you are. After this phase, you will be asked some questions about what you heard, so make sure to pay attention!</p><p><img height=\""100\"" src=\""stimuli/alien.png\""></p>Click next to begin. <p>""]","0","","","","","","","","",""
"","","","","","","","html-keyboard-response","6","143318","0.0-6.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","null","","","null","","","","","","","","",""
"","","","","","","exposure_trial","audio-keyboard-image-response","7","144231","0.0-7.0-0.0","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","null","","stimuli/words/minato.wav","null","","","","","","","","",""
"","","","","","","exposure_trial","audio-keyboard-image-response","8","145150","0.0-7.0-0.1","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","null","","stimuli/words/dogiba.wav","null","","","","","","","","",""
"","","","","","","exposure_trial","audio-keyboard-image-response","9","146020","0.0-7.0-0.2","3","[""dogiba"",""kalegu"",""tebodi"",""minato""]","[""nadite"",""lebado"",""bogumi"",""gitoka""]","33eqzqff7vd6exv","","","","zipfian","[""dogiba"",""tebodi"",""kalegu"",""minato""]","","","","","","null","","stimuli/words/kalegu.wav","null","","","","","","","","",""
